row_id,county_code,year,state,population,renter_occupied_households,pct_renter_occupied,median_gross_rent,median_household_income,median_property_value,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,evictions
28,1d1113f,b,f1f4f42,10139,956,20.535,577,37636,73022,26.236,0.978737796,0.004714838,0.004997526,0,0,0,0.011549839,0,14.757,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.457,0.062,0.247,0.063,0.327,0.31,0.133,0.08,,0.339,13.22008787,,23.49,354,10339,3429,0.499,0.205,0.193,0.187311178,0.47734139,0.2306143,0.104733132,8.964143426,11.05577689,0
29,578a315,a,c47295b,5105,506,19.378,632,42613,156862,19.671,0.903039016,0.005710635,0.05532926,0.004852043,0.008126672,0.005880356,0.017062018,0,14.525,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.553,0.089,0.208,0.127,0.277,,0.089,0.08,,0.232,9.116544011,,,230,2539,1690,0.483,0.256,0.185,0.087174349,0.347695391,0.369739479,0.195390782,10.8151412,4.806729421,0
30,732d4c9,b,92a2585,2002,257,34.985,454,42500,71382,17.735,0.889414495,0.000991709,0.098357729,0.000495855,0,0,0.010740212,0,3.357,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.673,0.023,0.196,0.108,0.301,0.124,0.1,,0.131,0.334,13.22172226,,,245,1020,979,0.495,0.226,0.221,0.066733068,0.326693227,0.412350598,0.194223108,7.257646449,18.66251944,1
31,95b6b4b,a,f1f4f42,16421,2104,29.499,546,37848,95755,27.775,0.967286491,0.005377152,0.010824396,0,0.002623489,0.001091452,0.01279702,0,14.261,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.427,0.084,0.216,0.045,0.355,0.236,0.118,0.111,,0.346,13.42785702,9.9,26.87,362,4109,1480,0.503,0.206,0.189,0.133534137,0.495983936,0.228915663,0.141566265,11.6098836,13.25107133,55
32,c176dd1,b,6f7cad6,1091549,131965,35.666,1426,80184,441252,32.378,0.46007119,0.086674979,0.248461569,0.002805373,0.15043438,0.004695733,0.043528536,0.003328239,7.835,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.485,0.062,0.166,0.067,0.239,0.116,0.076,0.069,0.184,0.166,8.332330195,8.01,8.09,201,1299,1120,0.515,0.242,0.133,0.110667996,0.186440678,0.305084746,0.39780658,11.11562006,6.598197207,1660
33,d05c755,b,37520b7,23205,1962,21.043,576,38998,90394,30.86,0.95211625,0.007864818,0.015769916,0.006595974,0.002819653,0.000100702,0.014732687,0,15.598,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.44,0.086,0.181,0.055,0.342,0.21,0.115,0.06,0.15,0.283,11.56066348,,10.42,292,7910,2609,0.496,0.241,0.177,0.119521912,0.447211155,0.301792829,0.131474104,10.72998363,10.68689132,54
34,b09a18f,a,f02e4c4,14147,1255,23.002,538,47539,84914,23.762,0.921833606,0.00338344,0.06019745,0.002182865,0.004028377,0,0.008275041,9.92E-05,9.412,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.531,0.044,0.11,0.061,0.284,0.173,0.09,0.06,,0.259,12.60287587,,16.52,221,2829,2849,0.506,0.215,0.223,0.098507463,0.4,0.332338308,0.169154229,9.561245087,12.81915082,10
35,00b0dcf,b,92a2585,8269,1000,25.225,468,42749,72355,20.88,0.926686542,0.000402877,0.017827287,0.019549584,0.002608626,0,0.032925085,0,13.414,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Farm-dependent,0.525,0.036,0.191,0.071,0.325,0.183,0.119,0.06,0.208,0.343,8.306721642,,20.68,262,2810,2079,0.511,0.211,0.23,0.083,0.398,0.313,0.206,14.35406699,13.61796099,8
36,7ce2067,a,a8981de,9266,944,30.256,568,23259,54118,38.709,0.135836916,0.842288177,0.010823263,0.001578806,0.00917495,0,0.000297888,0,35.082,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.345,0.126,0.252,0.066,0.42,0.175,0.16,0.161,,0.371,11.58368584,19.5,36.43,467,4619,3109,0.528,0.222,0.138,0.219900498,0.298507463,0.327363184,0.154228856,14.05458408,10.78607616,0
37,450e0ab,a,0df5b61,42398,5731,29.31,778,41712,105853,29.979,0.776732034,0.02567284,0.141609168,0.017824719,0.014546262,0.002421014,0.021093088,0.000100876,12.483,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.375,0.087,0.274,0.172,0.29,0.261,0.103,0.099,0.138,0.285,12.30960572,6.1,34.65,338,4689,2380,0.494,0.187,0.271,0.149551346,0.355932203,0.362911266,0.131605184,8.629010687,15.88575283,2
38,6a892bf,a,2af7250,15073,1411,23.78,621,49681,99939,25.874,0.97179908,0.003292289,0.012081794,0.001107498,0.002124382,0,0.009292913,0.000302045,9.69,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.495,0.043,0.172,0.044,0.313,,0.102,0.069,,0.286,12.98728777,,20.32,278,7430,2980,0.518,0.249,0.184,0.155223881,0.370149254,0.317412935,0.15721393,12.46983105,11.93349423,8
39,5d4cde1,b,be99678,9770,1139,27.329,761,48383,220507,31.04,0.969858156,0.000100741,0.013720986,0.000201483,0.001621937,0,0.014496696,0,9.517,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.462,0.075,0.219,0.138,0.259,0.179,0.088,0.05,0.167,0.241,9.479962937,,16.57,169,1370,639,0.487,0.183,0.191,0.064935065,0.284715285,0.351648352,0.298701299,9.797349559,6.084669726,1
40,01e2453,a,f2c60ec,14568,1480,24.48,496,35469,87197,26.833,0.96158467,0.013922402,0.012428192,0.000403841,0.000403841,0,0.009843613,0.001413442,16.189,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.427,0.061,0.245,0.067,0.349,0.29,0.123,0.091,0.077,0.348,13.12296985,,40.74,388,3619,1610,0.512,0.241,0.158,0.217652959,0.386158475,0.266800401,0.129388164,13.3969977,10.64889561,4
41,fa5fdcb,b,930f257,1912,165,9.819,480,41813,70342,18.184,0.487225985,0.001592995,0.510680079,0.000500942,0,0,0,0,4.756,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.456,0.043,0.401,0.218,0.289,,0.118,,0.183,0.298,9.476334495,,,203,,1960,0.496,0.206,0.223,0.208459215,0.287009063,0.253776435,0.250755287,13.25205407,8.481314604,0
42,bbe8667,a,105ac14,48976,4692,20.4,630,45930,122158,29.169,0.971093672,0.004996523,0.010469852,0.001986689,0.002294626,0,0.008572564,0.000586073,10.539,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.495,0.061,0.16,0.072,0.34,0.229,0.136,0.05,0.083,0.288,13.22363499,,21.67,282,2039,3079,0.505,0.207,0.202,0.140421264,0.508525577,0.21664995,0.13440321,9.17421778,11.18556754,47
43,704ddeb,a,56f170e,41635,4138,23.413,701,47817,112315,29.778,0.969153752,0.006165253,0.006784776,0.002807838,0.005066099,0,0.010022283,0,9.649,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.511,0.048,0.169,0.064,0.303,0.221,0.11,0.07,0.204,0.29,13.37682979,,22.59,320,6949,4179,0.506,0.236,0.167,0.118929633,0.459861249,0.303270565,0.117938553,10.39230343,10.9468811,89
44,9.70E+88,a,d897010,658705,180950,69.079,1213,59741,337076,28.821,0.294220244,0.110322568,0.427657826,0.001493555,0.145165494,0.000400954,0.01499569,0.00574367,15.055,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.54,0.054,0.264,0.071,0.237,0.163,0.076,0.09,0.173,0.255,11.04676488,4.4,4.68,238,1699,1870,0.506,0.204,0.107,0.171,0.261,0.192,0.376,14.88645339,5.929867371,437
45,48f3a53,a,f1f4f42,43673,6777,31.943,566,40568,106927,31.267,0.923410622,0.041744073,0.010333089,0.001004187,0.008455258,0,0.013938122,0.001114648,10.034,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.479,0.056,0.196,0.042,0.279,0.254,0.113,0.089,0.122,0.251,13.93197547,,5.1,283,1089,670,0.525,0.19,0.192,0.09,0.344,0.269,0.297,10.17965464,13.82852627,230
46,ac4bf33,a,b5e230e,126022,16691,32.117,751,41302,138066,34.419,0.638735012,0.296522985,0.038065854,0.002614523,0.00765324,0,0.015406654,0.001001733,18.342,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.42,0.072,0.269,0.058,0.376,0.199,0.123,0.109,0.122,0.326,11.44014015,9.5,26.06,356,2159,2800,0.517,0.247,0.126,0.181094527,0.35721393,0.267661692,0.194029851,14.9659864,9.750566893,272
47,fb4ab2f,b,c8ee9c4,5592,451,14.04,506,40439,90007,28.931,0.959362725,0.00552332,0.011405555,0,0.007517298,0,0.016191103,0,10.75,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.377,0.095,0.227,0.073,0.334,0.392,0.121,0.09,,0.341,13.78706675,,30.3,318,,,0.503,0.197,0.193,0.201,0.504,0.169,0.126,10.8977222,14.1134435,4
48,bce516d,a,429dafa,13489,1044,18.392,497,33535,61394,32.595,0.557554318,0.430908689,0.003617872,0.000100496,0,0,0.007718128,0.000100496,16.915,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.334,0.091,0.204,0.048,0.402,0.199,0.175,0.109,,0.349,12.73768394,,44.99,355,2229,2719,0.529,0.209,0.201,0.236291127,0.365902293,0.279162512,0.118644068,10.86341519,12.90030553,9
49,e2202d9,b,2af7250,13778,1461,25.234,611,49947,92800,23.991,0.949672235,0.005860496,0.026583693,0.003514284,0.003010805,0.000503479,0.010855008,0,8.998,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.472,0.06,0.145,0.034,0.307,,0.098,0.09,,0.303,13.32682846,,21.27,314,2879,1390,0.51,0.236,0.192,0.109218437,0.388777555,0.335671343,0.166332665,11.56069364,15.12342313,4
50,12e96c5,a,f93b51e,17719,1858,28.989,639,44548,124050,27.137,0.887686278,0.060921987,0.014951951,0.001979666,0.003193331,0,0.030570422,0.000696365,10.715,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.431,0.058,0.193,0.087,0.306,0.318,0.118,0.099,0.244,0.248,9.680477205,,12,312,3520,2920,0.473,0.221,0.164,0.117764471,0.415169661,0.271457086,0.195608782,10.40127316,10.91281119,2
